szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
Krúdy Gyula,A magyar jakubinusok,,,2-000762,2859675,,,,    .  .  ,1962,???
"Curie, Eve",Madame Curie,,,2-000768,2854489,,,,    .  .  ,1962,???
Szabó Magda,Pilátus,,,2-000785,2866901,,,,    .  .  ,1963,???
Tersánszky J. Jenõ,Sarkantyúvirág,,,2-000786,2867618,,,,    .  .  ,1963,???
Németh László,Mai témák,,,2-000799,2864266,,,,    .  .  ,1963,???
Barabás Tibor,Beethoven,,,2-000804,2851181,,,,    .  .  ,1962,???
"Webster, Jean",Nyakigláb  Apó,,,2-000817,2869186,,,,    .  .  ,1963,???
Csatári-Szüts Kálmán,Borsó- és babtermesztés,,,2-000825,2877327,,,,    .  .  ,1963,???
"London, Jack",Három kisregény : A vadon szava ; A beszélõ kutya ; Országúton,,,2-000834,2860176,,,,    .  .  ,1963,???
"Malaparte, Curzio",Kaputt,,,2-000835,2861074,,,,    .  .  ,1963,???
"Coster, Charles de",Thyl Ulenspiegel,,,2-000843,2847962,,,,    .  .  ,1962,???
Zemplén Jolán,A kísérletezés úttörõi a XIX. században,,,2-000848,2876474,,,,    .  .  ,1963,???
Bárdos Lajos,Bartók-dallamok és a népzene,,,2-000852,2878805,,,9637801146,    .  .  ,1977,???
Rácz Zoltán,A gyászszertartásokról : A polgári gyászszertartás : Útmutató gyászbeszédek összeállításához,,,2-000859,2876047,,,9635621191,    .  .  ,1977,???
Ábel Olga,Egy kísértet-térkép nyomán,,,2-000867,2874692,,,,    .  .  ,1963,???
Arany János,Buda halála,,,2-000875,2855929,,,,    .  .  ,1963,???
"Chabrol, Jean-Pierre",Isten bolondjai,,,2-000876,2848327,,,,    .  .  ,1963,???
Berei Andor,Új magyar lexikon A-C.,,,2-000889/01,2883359,,,,    .  .  ,1959,???
Berei Andor,Új magyar lexikon D-F.,,,2-000889/02,2882956,,,,    .  .  ,1962,???
Berei Andor,Új magyar lexikon G-J.,,,2-000889/03,2883458,,,,    .  .  ,1962,???
Berei Andor,Új magyar lexikon K-Me.,,,2-000889/04,2883403,,,,    .  .  ,1962,???
Berei Andor,Új magyar lexikon Mf-R.,,,2-000889/05,2883557,,,,    .  .  ,1961,???
Berei Andor,Új magyar lexikon S-Z.,,,2-000889/06,2883502,,,,    .  .  ,1962,Ismeretlen
Nagy Béla,Dísznövénytermesztés,,,2-000890,2877266,,,,    .  .  ,1963,???
Gál György Sándor,"Hazám, hazám, te mindenem : Erkel Ferenc életregénye",,,2-000891,2882185,,,,    .  .  ,1963,???
Villányi Emilné,Fürge ujjak könyve,,,2-000924,2877945,,,,    .  .  ,1963,???
Barsi Ernõ,Daloló Rábaköz,,,2-000936,2875309,,,9630319527,    .  .  ,1983,???
"France, Anatole",Crainquebille és más elbeszélések,,,2-000938,2856377,,,,    .  .  ,1967,???
Erdõs László,Sziszifusz,,,2-000945,2853239,,,,    .  .  ,1959,???
Sánta Ferenc,Téli virágzás,,,2-000958,2865393,,,,    .  .  ,1956,???
Illés Béla,Ég a Tisza,,,2-000961,2857657,,,,    .  .  ,1962,???
Nagy Lajos,A lázadó ember,,,2-000963,2864082,,,,    .  .  ,1956,???
Balázs Pál,A kiskert örökzöldjei,,,2-000994,2877112,,,,    .  .  ,1961,???
Békés István,Új magyar anekdotakincs : A századrordulótól a felszabadulásig,,,2-001016,2852874,,,,    .  .  ,1963,???
Passuth László,Sárkányfog,,,2-001019/01,2862972,,,,    .  .  ,1963,???
Passuth László,Sárkányfog,,,2-001019/02,2863023,,,,    .  .  ,1963,???
Gerõ László,Az építészeti stílusok,,,2-001024,2878379,,,,    .  .  ,1964,???
Baktay Ervin,Kõrösi Csoma Sándor,,,2-001037,2881461,,,,    .  .  ,1963,???
Köves J. Julianna,Illik tudni : A kulturált viselkedés szabályai,,,2-001045,2875781,,,963743805X,    .  .  ,1991,???
"Zola, Émile",Lourdes,,,2-001050,2869100,,,,    .  .  ,1964,???
"Zola, Émile",Róma,,,2-001051,2869155,,,,    .  .  ,1964,???
"Zola, Émile",Párizs,,,2-001052,2869209,,,,    .  .  ,1964,???
Márkus István,""" Nyugalmat nem ismerek"" : Mihail Vasziljevics Lomonoszov élete",,,2-001056,2861081,,,,    .  .  ,1963,???
Tóth Árpád,Tóth Árpád versei,,,2-001064,2867960,,,,    .  .  ,1964,???
Urbán Ernõ,Színe és visszája avagy a levágott ujjak esete,,,2-001065,2868530,,,,    .  .  ,1964,???
,Három földrész országaiban,,,2-001075,2881492,,,,    .  .  ,1961,???
Mikszáth Kálmán,Szent Péter esernyõje,,,2-001076,2861739,,,,    .  .  ,1962,???
Ady Endre,Ady Endre összes novellái,,,2-001085,2856131,,,,    .  .  ,1961,???
"Dickens, Charles",A Pickwick Klub,,,2-001086,2853611,,,,    .  .  ,1961,???
Arany László,Arany László válogatott mûvei,,,2-001096,2855844,,,,    .  .  ,1960,???
"Majskij, Ivan Mihaloviè",Ki segített Hitlernek? : A londoni szovjet nagykövet visszaemlékezései,,,2-001100,2861241,,,,    .  .  ,1964,???
Hegedûs Géza,A milétoszi hajós,,,2-001104,2857961,,,,    .  .  ,1964,???
"Magidovics, Ioszip Petrovics",Nagy földrajzi felfedezések,,,2-001107,2881034,,,,    .  .  ,1963,???
"Braunbek, Werner",Az atommag regénye,,,2-001109,2876627,,,,    .  .  ,1964,???
Mesterházi Lajos,Egyes szám elsõ személyben,,,2-001123,2861715,,,,    .  .  ,1964,???
,A reneszánsz festészete : az európai mûvészet diadala,,,2-001131,2883786,,,9633678811,    .  .  ,2000,???
Balázs Sándor,Reng a föld Itáliában : Spartacus élete és kora,,,2-001132,2851334,,,,    .  .  ,1964,???
Molnár Gábor,Ahol az ösvény véget ér : Észak-Brazília õserdõiben,,,2-001137,2880983,,,,    .  .  ,1964,???
Kodolányi János,Boldog Margit,,,2-001144,2860107,,,,    .  .  ,1964,???
Barabás Tibor,Házunk büszkesége,,,2-001151,2851136,,,,    .  .  ,1964,???
"Bartseh, Ernst",Indiánok és négereg az Újvilágban,,,2-001160,2881416,,,,    .  .  ,1964,???
Száva István,Egyedül a halál ellen : Semmelweis Ignác élete,,,2-001164,2867236,,,,    .  .  ,1963,???
Halász Zoltán,Históriák a magyar régészet történetébõl,,,2-001170,2881942,,,,    .  .  ,1964,???
"London, Jack",Az éneklõ kutya,,,2-001184,2860633,,,,    .  .  ,1964,???
Gárdonyi Géza,A láthatatlan ember,,,2-001190,2856759,,,9639198129,    .  .  ,É.N.,???
"Bates, Herbert Ernest",Jó széllel francia partra ; A jacaranda-fa,,,2-001194,2852928,,,,    .  .  ,1965,???
"Gorkij, Makszim",Az áruló,,,2-001202,2857343,,,,    .  .  ,1965,???
Arany János,Arany János balladái,,,2-001204,2856001,,,,    .  .  ,1964,???
"Cusack, Dymphna",Hõhullám Berlinben,,,2-001207,2854526,,,9639282448,    .  .  ,É.N.,???
Rácz Béla,A tanuk hallgatnak,,,2-001216,2863436,,,,    .  .  ,1965,???
"Jungk, Robert",A hamu gyermekei : Hirosima népe,,,2-001221,2885155,,,,    .  .  ,1965,???
Bölöni György,Hallja kend Táncsics!,,,2-001224,2851778,,,,    .  .  ,1965,???
