szerzõ,cím,leltári szám,vonalkód,ISBN szám,beszerzési dátum,kiadási év,szállító,dokumentum típus,statisztikai besorolás
Gyurkovics Tibor,"Kudi, a levegõember",2-003379,2857411,9631137597,    .  .  ,1985,???,könyv,???
Gyurkovics Tibor,A pápai mézesbábos,2-003380,2871257,9631123588,    .  .  ,1983,???,könyv,???
"Hauff, Wilhelm",A szarvastallér legendája : Mesék,2-003381,2872643,9631163598,    .  .  ,1989,???,könyv,???
Herke Rózsa,Ördög : Egy pulikutya önéletrajza,2-003382,2857626,9635003544,    .  .  ,1984,???,könyv,???
Sulyok Magda,Hogyan építettek kunyhót a majmok?,2-003383,2873015,9631139735,    .  .  ,1985,???,könyv,???
"Kauter, Kurt",Hogyan lett király a kondorkeselyû : Indián mesék,2-003384,2873169,9631140482,    .  .  ,1984,???,könyv,???
Horgas Béla,A kóbor ceruza tündére,2-003386,2872964,9631152383,    .  .  ,1987,???,könyv,???
Horgas Béla,A fabatkák kertje,2-003387,2872698,9631132897,    .  .  ,1984,???,könyv,???
"Hercíková, Iva",Andersen kisasszony,2-003388,2857572,9631142469,    .  .  ,1986,???,könyv,???
Janikovszky Éva,Már óvodás vagyok,2-003391,2871417,9631167615,    .  .  ,1991,???,könyv,???
Janikovszky Éva,Aranyesõ,2-003392,2858456,,    .  .  ,1986,???,könyv,???
Janikovszky Éva,Már megint,2-003393,2870830,9631166821,    .  .  ,1990,???,könyv,???
Janikovszky Éva,"Akár hiszed, akár nem",2-003394,2871769,9631137023,    .  .  ,1984,???,könyv,???
Janikovszky Éva,A hét bõr,2-003395,2871332,9634226795,    .  .  ,1985,???,könyv,???
"Judah, Aaron",Macóka régi és új meséi,2-003396,2864778,963116554X,    .  .  ,1990,???,könyv,???
Kántor Zsuzsa,Csiszi-csosza ház,2-003397,2859101,9631155021,    .  .  ,1988,???,könyv,???
"Kasszil, Lev Abramovics",Hókirálynõ,2-003401,2859187,9631139875,    .  .  ,1985,???,könyv,???
Kárpáti Kamil,Égjáró Trombitás  Ali,2-003402,2859286,9631137589,    .  .  ,1985,???,könyv,???
"Kästner, Erich",Emil és a három iker,2-003403,2858920,9631155536,    .  .  ,1988,???,könyv,???
Kelemen Sándor,Kapitányok,2-003404,2871240,9631131645,    .  .  ,1983,???,könyv,???
Kiss Anna,"Alattunk is laknak, felettünk is laknak",2-003405,2871530,9631133273,    .  .  ,1985,???,könyv,???
Kertész Erzsébet,Zsuzsi vakációja,2-003406,2858913,9632823966,    .  .  ,1991,???,könyv,???
"Korschunow, Irina",Halló! Sebastian?,2-003409,2859590,9631153428,    .  .  ,1987,???,könyv,???
Kosáryné Réz Lola,Selmeci diákok,2-003411,2859644,963116523X,    .  .  ,1990,???,könyv,???
Kõszegi Imre,A fellegvári Vénusz,2-003412,2859613,9631152049,    .  .  ,1987,???,könyv,???
Krúdy Gyula,Rózsa Sándor : A betyárok csillaga Magyarország történetében,2-003413,2860794,963116439X,    .  .  ,1989,???,könyv,???
Kõris Emil,A katedrális,2-003414,2859767,9631136272,    .  .  ,1984,???,könyv,???
Köves József,A közös kutya,2-003415,2860077,9634227910,    .  .  ,1987,???,könyv,???
Lakner Judit,Balettcipõben Tokióig,2-003418,2872773,963114528X,    .  .  ,1986,???,könyv,???
László-Bencsik Sándor,Mesejáró Rebeka és Tengerjáró Tóbiás,2-003419,2872285,9631135764,    .  .  ,1984,???,könyv,???
Lengyel Balázs,"Óperencián innen, Óperencián túl : Mesék, történetek, mesefeldolgozások",2-003420,2873077,9631139743,    .  .  ,1985,???,könyv,???
Lesznai Anna,A kis pillangó utazása Lesznán és a szomszédos Tündérországban,2-003421,2870113,9631139794,    .  .  ,1985,???,könyv,???
Lesznai Anna,A kis pillangó utazása Lesznán és a szomszédos Tündérországban,2-003422,2871615,9631139794,    .  .  ,1985,???,könyv,???
"Lindgren, Astrid",A rabló lánya,2-003423,2860732,9631142590,    .  .  ,1986,???,könyv,???
Kósa Csaba,Pogánykõ,2-003424,2859576,9631136280,    .  .  ,1984,???,könyv,???
"London, Jack",A vadon szava,2-003425,2859552,9637965106,    .  .  ,1991,???,könyv,???
Mándy Iván,Csutak színre lép,2-003427,2873763,9631155749,    .  .  ,1988,???,könyv,???
Mándy Stefánia,Játékzivatar,2-003428,2871851,9631152634,    .  .  ,1987,???,könyv,???
Mányi László,Hová tûnt Dorman professzor agya?,2-003429,2860886,9631142701,    .  .  ,1986,???,könyv,???
"Milú, S.","Füstöcske, a kis sárkány",2-003433,2872735,9637447261,    .  .  ,1991,???,könyv,???
"Miler, Zdenìk",A vakond és az esernyõ,2-003434,2873107,8070891327,    .  .  ,1991,???,könyv,???
"Milne, Alan Alexander",Micimackó ; Micimackó kuckója,2-003436,2871202,9631166929,    .  .  ,1991,???,könyv,???
